|#|Kanji|Onyomi|Kunyomi|Kanji Meaning|
|882|泡|hou|awa|bubbles, foam, suds, froth|
|883|瑞|zui, sui|mizu-, shirushi|congratulations|
|884|又|yuu|mata, mata-, mata(no-)|or again, furthermore, on the other hand|
|885|慨|gai|nage(ku)|rue, be sad, sigh, lament|
|886|紡|bou|tsumu(gu)|spinning|
|887|恨|kon|ura(mu), ura(meshii)|regret, bear a grudge, resentment, malice, hatred|
|888|肪|bou||obese, fat|
|889|扶|fu|tasu(keru)|aid, help, assist|
|890|戯|gi, ge|tawamu(reru), za(reru), ja(reru)|frolic, play, sport|
|891|伍|go|itsutsu|five, five-man squad, file, line|
|892|忌|ki|i(mu), i(mi), i(mawashii)|mourning, abhor, detestable, death anniversary|
|893|濁|daku, joku|nigo(ru)|voiced, uncleanness, wrong, nigori, impurity|
|894|奔|hon|hashi(ru)|run, bustle|
|895|斗|to, tou||Big Dipper, ten sho (vol), sake dipper, dots and cross radical (no. 68)|
|896|蘭|ran, ra||orchid, Holland|
|897|蒲|ho, bo, fu, bu|gama, kaba, kama|bullrush, flag, cattail|
|898|迅|jin||swift, fast|
|899|肖|shou|ayaka(ru)|resemblance|
|900|鉢|hachi, hatsu||bowl, rice tub, pot, crown|
|901|朽|kyuu|ku(chiru)|decay, rot, remain in seclusion|
|902|殻|kaku, koku, bai|kara, gara|husk, nut shell|
|903|享|kyou, kou|u(keru)|enjoy, receive, undergo, answer (phone), take, get, catch|
|904|秦|shin|hata|Manchu dynasty, name given to naturalized foreigners|
|905|茅|bou, myou|kaya, chigaya|miscanthus reed|
|906|藩|han||clan, enclosure|
|907|沙|sa, sha|suna, yonageru|sand|
|908|輔|ho, fu|tasu(keru)|help|
|909|媒|bai|nakoudo|mediator, go-between|
|910|鶏|kei|niwatori, tori|chicken|
|911|禅|zen, sen|shizuka, yuzu(ru)|Zen, silent meditation|
|912|嘱|shoku|shoku(suru), tano(mu)|entrust, request, send a message|
|913|胴|dou||trunk, torso, hull (ship), hub of wheel|
|914|粕|haku|kasu|scrap, waste|
|915|冨|fu, fuu|to(mu), tomi|enrich, wealthy, abundant|
|916|迭|tetsu||transfer, alternation|
|917|挿|sou|sa(su), hasa(mu)|insert, put in, graft, wear (sword)|
|918|湘|shou||name of Chinese river, the Sagami river|
|919|嵐|ran|arashi|storm, tempest|
|920|椎|tsui, sui|tsuchi, u(tsu)|chinquapin, mallet, spine|
|921|灘|tan, dan|nada, se|open sea|
|922|堰|en|seki, se(ku)|dam, prevent, stop up|
|923|獅|shi|shishi|lion|
|924|姜|kyou, ga|kou|Chinese surname, ginger|
|925|絹|ken|kinu|silk|
|926|陪|bai||obeisance, follow, accompany, attend on|
|927|剖|bou||divide|
|928|譜|fu||musical score, music, note, staff, table, genealogy|
|929|郁|iku||cultural progress, perfume|
|930|悠|yuu||permanence, distant, long time, leisure|
|931|淑|shuku|shito(yaka)|graceful, gentle, pure|
|932|帆|han|ho|sail|
|933|暁|gyou, kyou|akatsuki, sato(ru)|daybreak, dawn, in the event|
|934|鷲|shuu, ju|washi|eagle|
|935|傑|ketsu|sugu(reru)|greatness, excellence|
|936|楠|nan, dan, zen, nen|kusu, kusunoki|camphor tree|
|937|笛|teki|fue|flute, clarinet, pipe, whistle, bagpipe, piccolo|
|938|芥|kai, ke|karashi, gomi, akuta|mustard, rape, dust, trash, rubbish|
|939|其|ki, gi, go|sore, sono|that|
|940|玲|rei||sound of jewels|
|941|奴|do|yatsu, yakko|guy, slave, manservant, fellow|
|942|錠|jou||lock, fetters, shackles|
|943|拳|ken, gen|kobushi|fist|
|944|翔|shou|kake(ru), to(bu)|soar, fly|
|945|遷|sen|utsu(ru), miyakogae|transition, move, change|
|946|拙|setsu|tsutana(i)|bungling, clumsy, unskillful|
|947|侍|ji, shi|samu(rai), habe(ru)|waiter, samurai, wait upon, serve|
|948|尺|shaku, seki|sashi|shaku, Japanese foot, measure, scale, rule|
|949|峠||touge|mountain peak, mountain pass, climax, crest, (kokuji)|
|950|篤|toku|atsu(i)|fervent, kind, cordial, serious, deliberate|
|951|肇|chou, jou, tou|haji(meru), hajime|beginning|
|952|渇|katsu|kawa(ku)|thirst, dry up, parch|
|953|榎|ka|enoki|lotus tree, nettle tree, hackberry|
|954|劉|ryuu, ru|koro(su)|weapon of war, logging axe, kill en masse, peeling (paint off a wall, etc), sparse, faded|
|955|幡|man, han, ban, hon|hata|flag|
|956|諏|shu, su|sou, haka(ru)|consult|
|957|叔|shuku||uncle, youth|
|958|雌|shi|me-, mesu, men|feminine, female|
|959|亨|kou, kyou, hou|too(ru)|pass through, go smoothly|
|960|堪|kan, tan|ta(eru), tama(ru), kora(eru), kota(eru)|withstand, endure, support, resist|
|961|叙|jo|tsui(zu), tsuide|confer, relate, narrate, describe|
|962|酢|saku|su|vinegar, sour, acid, tart|
|963|吟|gin||versify, singing, recital|
|964|逓|tei|kawa(ru), tagaini|relay, in turn, sending|
|965|痕|kon|ato|mark, foot print|
|966|嶺|rei, ryou|mine|peak, summit|
|967|袖|shuu|sode|sleeve, wing (building), extension, give cold shoulder|
|968|甚|jin|hanaha(da), hanaha(dashii)|tremendously, very, great, exceedingly|
|969|喬|kyou|taka(i)|high, boasting|
|970|崔|gai, sai, sui|gake|cliff, bluff, precipice|
|971|妖|you|aya(shii), nama(meku), wazawa(i)|attractive, bewitching, calamity|
|972|琵|bi, hi||glissando on strings, lute|
|973|琶|ha, be, wa||lute|
|974|聯|ren|tsura(naru), tsura(neru)|party, gang, clique|
|975|蘇|so, su|yomigae(ru)|be resuscitated, revived, perilla, shiso|
|976|闇|an, on|yami, kura(i)|get dark, gloom, disorder|
|977|崇|suu|aga(meru)|adore, respect, revere, worship|
|978|漆|shitsu|urushi|lacquer, varnish, seven|
|979|岬|kou|misaki|headland, cape, spit, promontory|
|980|癖|heki|kuse, kuse(ni)|mannerism, habit, vice, trait, fault, kink|
|981|愉|yu|tano(shii), tano(shimu)|pleasure, happy, rejoice|
|982|寅|in|tora|sign of the tiger, 3-5AM, third sign of Chinese zodiac|
|983|捉|soku, saku|tora(eru)|catch, capture|
|984|礁|shou||reef, sunken rock|
|985|乃|nai, dai, no, ai|no, sunawa(chi), nanji|from, possessive particle, whereupon, accordingly|
|986|洲|shuu, su|shima|continent, sandbar, island, country|
|987|屯|ton|tamuro|barracks, police station, camp, ton|
|988|樽|son|taru|barrel, cask, keg|
|989|樺|ka|kaba, kanba|birch, dark red|
|990|槙|ten, shin|maki, kozue|twig, ornamental evergreen|
|991|薩|satsu, sachi||salvation, Buddha|
|992|姻|in||matrimony, marry|
|993|巌|gan|iwa, iwao, kewa(shii)|rock, crag, boulder|
|994|淀|ten, den|yodo(mu)|pool, eddy|
|995|麹|kiku|kouji|malt, yeast|
|996|賭|to|ka(keru), kake|gamble, wager, bet|
|997|擬|gi|maga(i), modo(ki)|mimic, aim (a gun) at, nominate, imitate|
|998|塀|hei, bei||fence, wall, (kokuji)|
|999|唇|shin|kuchibiru|lips|
|1000|睦|boku, moku|mutsu(majii), mutsu(mu), mutsu(bu)|intimate, friendly, harmonious|
|1001|閑|kan||leisure|
|1002|胡|u, ko, go|nanzo|barbarian, foreign|
|1003|幽|yuu|fuka(i), kasu(ka), kura(i), shiro(i)|seclude, confine to a room, deep, profound, secluded, faint, dark, tranquil, calm|
|1004|峻|shun|kewa(shii), taka(i)|high, steep|
|1005|曹|sou, zou||office, official, comrade, fellow|
|1006|哨|shou|mihari|scout, sentinel|
|1007|詠|ei|yo(mu), uta(u)|recitation, poem, song, composing|
|1008|炒|sou, shou|i(ru), ita(meru)|broil, parch, roast, fry|
|1009|屏|hei, byou|oo(u), shirizo(ku), byou(bu)|wall, fence|
|1010|卑|hi|iya(shii)|lowly, base, vile, vulgar, despise|
|1011|侮|bu|anado(ru)|scorn, despise, make light of, contempt|
|1012|鋳|chuu, i, shu, shuu|i(ru)|casting, mint|
|1013|抹|matsu||rub, paint, erase|
|1014|尉|i, jou||military officer, jailer, old man, rank|
|1015|槻|ki|tsuki|Zelkova tree|
|1016|隷|rei|shitaga(u), shimobe|slave, servant, prisoner, criminal, follower|
|1017|禍|ka|kazawai|calamity, misfortune, evil, curse|
|1018|蝶|chou||butterfly|
|1019|酪|raku||dairy products, whey, broth, fruit juice|
|1020|茎|kei, kyou|kuki|stalk, stem|
|1021|汎|han, bu, fuu, hou, hon|tadayo(u), hiro(i)|pan-|
|1022|頃|kei, kyou|koro, goro, shibara(ku)|time, about, toward|
|1023|帥|sui||commander, leading troops, governor|
|1024|梁|ryou|hari, utsubari, uchibari, yana, hashi|weir, fish trap, beam, girder|
|1025|逝|sei|yu(ku), i(ku)|departed, die|
|1026|汽|ki||vapor, steam|
|1027|謎|mei, bei|nazo|riddle, puzzle, enigma, hint, tip|
|1028|琢|taku|miga(ku)|polish|
|1029|箕|ki|mi|winnowing|
|1030|匿|toku|kakuma(u)|hide, shelter, shield|
|1031|爪|sou|tsume, tsuma-|claw, nail, talon|
|1032|芭|ba, ha||banana|
|1033|逗|tou, zu|todo(maru)|stop|
|1034|苫|sen|toma|rush matting|
|1035|鍵|ken|kagi|key|
|1036|襟|kin|eri|collar, neck, lapel, one's inner feelings|
|1037|蛍|kei|hotaru|lightning-bug, firefly|
|1038|楢|shuu, yuu|nara|oak|
|1039|蕉|shou||banana, plantain|
|1040|兜|tou, to|kabuto|helmet, head piece|
|1041|寡|ka||widow, minority, few|
|1042|琉|ryuu, ru||precious stone, gem, lapis lazuli|
|1043|痢|ri||diarrhea|
|1044|庸|you||commonplace, ordinary, employment|
|1045|朋|hou|tomo|companion, friend|
|1046|坑|kou||pit, hole|
|1047|姑|ko|shuutome, shuuto, oba, shibaraku|mother-in-law|
|1048|烏|u, o|karasu, izukunzo, nanzo|crow, raven|
|1049|藍|ran|ai|indigo|
|1050|僑|kyou||expatriate, person living abroad, temporary home|
|1051|賊|zoku||burglar, rebel, traitor, robber|
|1052|搾|saku|shibo(ru)|squeeze|
|1053|奄|en|oo(u), tachimachi|cover, suffocate, obstruct|
|1054|臼|kyuu, gu|usu, usudzu(ku)|mortar|
|1055|畔|han|aze, kuro, hotori|paddy ridge, levee|
|1056|遼|ryou||distant|
|1057|唄|bai|uta, uta(u)|song, ballad|
|1058|孔|kou, ku|ana|cavity, hole, slit, very, great, exceedingly|
|1059|橘|kitsu|tachibana|mandarin orange|
|1060|漱|sou, shuu, su|kuchisusu(gu), kuchisoso(gu), ugai, susu(gu)|gargle, rinse mouth|
|1061|呂|ro, ryo|sebone|spine, backbone|
|1062|桧|kai|hinoki, hi|Japanese cypress|
|1063|拷|gou||torture, beat|
|1064|宋|sou||dwell, Sung dynasty|
|1065|嬢|jou|musume|lass, girl, Miss, daughter|
|1066|苑|en, on|sono, u(tsu)|garden, farm, park|
|1067|巽|son|tatsumi|southeast|
|1068|杜|to, tou, zu|mori, fusa(gu), yamanashi|woods, grove|
|1069|渓|kei|tani, tanigawa|mountain stream, valley|
|1070|翁|ou|okina|venerable old man|
|1071|藝|gei, un|u(eru), nori, waza|art, craft, performance, acting, trick, stunt|
|1072|廉|ren||bargain, reason, charge, suspicion, point, account, purity|
|1073|牙|ga, ge|kiba, ha|tusk, fang, tusk radical (no. 92)|
|1074|謹|kin|tsutsushi(mu)|discreet, reverently, humbly|
|1075|瞳|dou, tou|hitomi|pupil (of eye)|
|1076|湧|yuu, you, yu|wa(ku)|boil, ferment, seethe, uproar, breed|
|1077|欣|kin, gon, kon|yoroko(bu)|take pleasure in, rejoice|
|1078|窯|you|kama|kiln, oven, furnace|
|1079|褒|hou|ho(meru)|praise, extol|
|1080|醜|shuu|miniku(i), shiko|ugly, unclean, shame, bad looking|
|1081|魏|gi|taka(i)|high, large, Kingdom of Wei|
|1082|篇|hen||volume, chapter, book, editing, compilation|
|1083|升|shou|masu|measuring box, 1.8 liter|
|1084|此|shi|kore, kono, koko|this, current, next, coming, last, past|
|1085|峯|hou|mine, ne|peak, summit|
|1086|殉|jun||martyrdom, follow by resigning|
|1087|煩|han, bon|wazura(u), urusa(garu)|anxiety, trouble, worry, pain, ill, annoy, nuisance, irksome|
|1088|巴|ha|tomoe, uzumaki|comma-design|
|1089|禎|tei|saiwa(i)|happiness, blessed, good fortune, auspicious|
|1090|枕|chin, shin|makura|pillow|
|1091|劾|gai||censure, criminal investigation|
|1092|菩|bo||kind of grass, sacred tree|
|1093|堕|da|o(chiru), kuzu(su)|degenerate, descend to, lapse into|
|1094|丼|ton, tan, shou, sei|donburi|bowl, bowl of food|
|1095|租|so||tariff, crop tax, borrowing|
|1096|檜|kai|hinoki, hi|Japanese cypress|
|1097|稜|ryou, rou|itsu, kado|angle, edge, corner, power, majesty|
|1098|牟|bou, mu||pupil (eye), moo (cow sound)|
|1099|桟|san, sen|kakehashi|scaffold, cleat, frame, jetty, bolt (door)|
|1100|榊||sakaki|sacred Shinto tree, (kokuji)|
|1101|錫|seki, shaku|suzu, tama(u)|copper, tin|
|1102|荏|jin, nin||bean, perilla, herb, soft, pliable|
|1103|惧|ku, gu|oso(reru)|fear, be afraid of, dread|
|1104|倭|wa, i|yamato, shitaga(u)|Yamato, ancient Japan|
|1105|婿|sei|muko|bridegroom, son-in-law|
|1106|慕|bo|shita(u)|pining, yearn for, love dearly, adore|
|1107|廟|byou, myou|tamaya, mitamaya, yashiro|mausoleum, shrine, palace|
|1108|銚|chou, you|nabe|sake bottle|
|1109|斐|hi, i||beautiful, patterned|
|1110|罷|hi|maka(ri-), ya(meru)|quit, stop, leave, withdraw, go|
|1111|矯|kyou|ta(meru)|rectify, straighten, correct, reform, cure, control, pretend, falsify|
|1112|某|bou|soregashi, nanigashi|so-and-so, one, a certain, that person|
|1113|囚|shuu|tora(wareru)|captured, criminal, arrest, catch|
|1114|魁|kai|sakigake, kashira|charging ahead of others|
|1115|薮|sou|yabu|thicket, bush, underbrush, grove|
|1116|虹|kou|niji|rainbow|
|1117|鴻|kou, gou|ootori, hishikui, oogari|large bird, wild goose, large, great, powerful, prosperous|
|1118|泌|hitsu, hi||ooze, flow, soak in, penetrate, secrete|
|1119|於|o, yo|oi(te), o(keru), aa, yori|at, in, on, as for|
|1120|赳|kyuu||strong and brave|
|1121|漸|zen|youya(ku), yaya, youyo(u), susu(mu)|steadily, gradually advancing, finally, barely|
|1122|逢|hou|a(u), muka(eru)|meeting, tryst, date, rendezvous|
|1123|凧||ikanobori, tako|kite, (kokuji)|
|1124|鵜|tei, dai|u|cormorant|
|1125|庵|an|iori, io|hermitage, retreat|
|1126|膳|zen, sen|kashiwa, susu(meru), sona(eru)|small low table, tray|
|1127|蚊|bun|ka|mosquito|
|1128|葵|ki|aoi|hollyhock|
|1129|厄|yaku||unlucky, misfortune, bad luck, disaster|
|1130|藻|sou|mo|seaweed, duckweed|
|1131|萬|man, ban|yorozu|ten thousand, 10,000|
|1132|禄|roku|saiwa(i), fuchi|fief, allowance, pension, grant, happiness|
|1133|孟|mou, bou, myou|kashira|chief, beginning|
|1134|鴈|gan|kari, karigane|wild goose|
|1135|狼|rou|ookami|wolf|
|1136|嫡|chaku, teki||legitimate wife, direct descent (non-bastard)|
|1137|呪|ju, shu, shuu, zu|majina(u), noro(i)|spell, curse, charm, malediction|
|1138|斬|zan, san, sen, zen|ki(ru)|beheading, kill, murder|
|1139|尖|sen|toga(ru), saki, surudo(i)|be pointed, sharp, taper, displeased, angry, edgy|
|1140|翫|gan|moteaso(bu)|take pleasure in, play instrument|
|1141|嶽|gaku|take|peak|
|1142|尭|gyou|taka(i)|high, far|
|1143|怨|en, on, un|ura(mu)|grudge, show resentment, be jealous|
|1144|卿|kei, kyou|kimi|you, lord, secretary, state minister|
|1145|串|kan, ken, sen|kushi, tsuranu(ku)|spit, skewer|
|1146|已|i|ya(mu), sude(ni), nomi, hanahada|stop, halt, previously, already, long ago|
|1147|嚇|kaku|odo(su)|menacing, dignity, majesty, threaten|
|1148|巳|shi|mi|sign of the snake or serpent, 9-11AM, sixth sign of Chinese zodiac|
|1149|凸|totsu|deko|convex, beetle brow, uneven|
|1150|暢|chou|nobi(ru)|stretch|
|1151|腫|shu, shou|ha(reru), ha(re), ha(rasu), haremono|tumor, swelling|
|1152|粟|zoku, shoku, soku|awa, momi|millet|
|1153|燕|en|tsubame, tsubakura, tsubakuro|swallow (bird)|
|1154|韻|in||rhyme, elegance, tone|
|1155|綴|tei, tetsu, techi, getsu|to(jiru), tsudzu(ru), tsudzuri, sumi(yaka)|compose, spell, write, bind (books)|
|1156|埴|shoku|hani, hena|clay|
|1157|霜|sou|shimo|frost|
|1158|餅|hei, hyou|mochi, mochii|mochi rice cake|
|1159|魯|ro|oroka|foolish, Russia|
|1160|硝|shou||nitrate, saltpeter|
|1161|牡|bo, bou|osu, o-, on-|male|
|1162|箸|cho, chaku|hashi|chopsticks|
|1163|勅|choku|imashi(meru), mikotonori|imperial order|
|1164|芹|kin|seri|parsley|
|1165|杏|kyou, an, kou|anzu|apricot|
|1166|迦|ka, ke||(used phonetically)|
|1167|棺|kan||coffin, casket|
|1168|儒|ju||Confucian|
|1169|鳳|hou, fuu||male mythical bird|
|1170|馨|kei, kyou|kao(ru), kaori|fragrant, balmy, favourable|
|1171|斑|han|fu, madara|spot, blemish, speck, patches|
|1172|蔭|in, on|kage|shade, shadow, backing assistance|
|1173|焉|en|izuku(nzo), kokoni, kore|how, why, then|
|1174|慧|kei, e|satoi|wise|
|1175|祇|gi, ki, shi|kunitsukami, tada, masani|national or local god, peaceful, great|
|1176|摯|shi|ita(ru), tsuka(mu), nie|gift, seriousness|
|1177|愁|shuu|ure(eru), ure(i)|distress, grieve, lament, be anxious|
|1178|鷺|ro|sagi|heron|
|1179|楼|rou|takadono|watchtower, lookout, high building|
|1180|彬|hin, fun|uruwa(shii), aki(raka)|refined, gentle|
|1181|袴|ko, ku|hakama, zubon|men's formal divided skirt|
|1182|匡|kyou, ou|suku(u), tada(su)|correct, save, assist|
|1183|眉|bi, mi|mayu|eyebrow|
|1184|苅|gai, kai|ka(ru)|cutting (grass)|
|1185|讃|san|ho(meru), tata(eru)|praise, title on a picture|
|1186|尹|in|osa, tada(su)|an official rank|
|1187|欽|kin, kon|tsutsushi(mu)|respect, revere, long for|
|1188|薪|shin|takigi, maki|fuel, firewood, kindling|
|1189|湛|tan, chin, jin, sen|shizu(mu), tata(eru)|fill, wear (a smile), clear, pure, dense, deep|
|1190|堆|tai, tsui|uzutaka(i)|piled high|
|1191|狐|ko|kitsune|fox|
|1192|褐|katsu||brown, woollen kimono|
|1193|鴎|ou|kamome|seagull|
|1194|瀋|shin||juice, broth|
|1195|挺|chou, tei|nu(ku)|bravely volunteer, counter for guns, inksticks, palanquins|
|1196|賜|shi|tamawa(ru), tama(u), tamo(u)|grant, gift, boon, results|
|1197|嵯|sa, shi||steep, craggy, rugged|
|1198|雁|gan|kari, karigane|wild goose|
|1199|佃|ten, den|tsukuda|cultivated rice field|
|1200|綜|sou|osa(meru), su(beru)|rule, synthesize|
|1201|繕|zen|tsukuro(u)|darning, repair, mend, trim, tidy up, adjust|
|1202|狛|haku|koma|archaic part of Korea, lion-dog shrine guards|
|1203|壷|ko|tsubo|jar, pot, hinge knuckle, one's aim|
|1204|橿|kyou|kashi, mochinoki|oak|
|1205|栓|sen||plug, bolt, cork, bung, stopper|
|1206|翠|sui|kawasemi, midori|green, kingfisher|
|1207|鮎|den, nen|ayu, namazu|freshwater trout, smelt|
|1208|芯|shin||wick|
|1209|蜜|mitsu, bitsu||honey, nectar, molasses|
|1210|播|ha, ban, han|ma(ku)|plant, sow|
|1211|榛|shin, han|hashibami, hari|hazelnut, filbert|
|1212|凹|ou|kubo(mu), heko(mu), boko|concave, hollow, sunken|
|1213|艶|en|tsuya, nama(mekashii), ade(yaka), tsuya(meku)|glossy, luster, glaze, polish, charm, colorful, captivating|
|1214|帖|chou, jou|kakimono|quire (of paper), bundle of seaweed, counter for screens, notebook|
|1215|桶|you, tou|oke|tub, bucket|
|1216|惣|sou|sube(te)|all|
|1217|股|ko|mata, momo|thigh, crotch|
|1218|匂||nio(u), nio(i), nio(waseru)|fragrant, stink, glow, insinuate, (kokuji)|
|1219|鞍|an|kura|saddle|
|1220|蔦|chou|tsuta|vine, ivy|
|1221|玩|gan|mochiaso(bu), moteaso(bu)|play, take pleasure in, trifle with, make sport of|
|1222|萱|ken|kaya, kanzou|miscanthus reed|
|1223|梯|tei, tai|hashigo|ladder, stairs, insatiable drinking|
|1224|雫|da|shizuku|drop, trickle, dripping, (kokuji)|
|1225|絆|han|kizuna, hoda(su), tsuna(gu)|bonds, fetters|
|1226|錬|ren|ne(ru)|tempering, refine, drill, train, polish|
|1227|湊|sou|minato, atsu(maru)|port, harbor|
|1228|蜂|hou|hachi|bee, wasp, hornet|
|1229|隼|shun, jun|hayabusa|falcon|
|1230|舵|da, ta|kaji|rudder, helm, wheel|
|1231|渚|sho|nagisa|strand, beach, shore|
|1232|珂|ka||jewel|
|1233|煥|kan|akiraka|shine|
|1234|衷|chuu||inmost, heart, mind, inside|
|1235|逐|chiku||pursue, drive away, chase, accomplish, attain, commit|
|1236|斥|seki|shirizo(keru)|reject, retreat, recede, withdraw, repel, repulse|
|1237|稀|ki, ke|mare, mabara|rare, phenomenal, dilute (acid)|
|1238|癌|gan||cancer, cancerous evil|
|1239|峨|ga|kewa(shii)|high mountain|
|1240|嘘|kyo, ko|uso, fu(ku)|lie, falsehood|
|1241|旛|hen, han|hata|flag|
|1242|篭|rou, ru|kago, ko(meru), komo(ru), ko(mu)|seclude oneself, cage, coop, implied|
|1243|芙|fu||lotus, Mt Fuji|
|1244|詔|shou|mikotonori|imperial edict|
|1245|皐|kou|satsuki|swamp, shore, fifth month|
|1246|雛|suu, su, ju|hina, hiyoko|chick, squab, duckling, doll|
|1247|娼|shou|asobime|prostitute|
|1248|篆|ten||seal-style characters|
|1249|鮫|kou|same, mizuchi|shark|
|1250|椅|i||chair|
|1251|惟|i, yui|omo(nmiru), kore, omo(uni)|consider, reflect, think|
|1252|牌|hai|pai, fuda|label, signboard, medal, mahjong tiles|
|1253|宕|tou|sugiru|cave|
|1254|喧|ken|yakama(shii), kamabisu(shii)|noisy, boisterous|
|1255|佑|yuu, u|tasu(keru)|help, assist|
|1256|蒋|shou, sou|makomo, hage(masu)|reed|
|1257|樟|shou|kusu|camphor|
|1258|耀|you|kagaya(ku), hikari|shine, sparkle, gleam, twinkle|
|1259|黛|tai|mayuzumi|blackened eyebrows|
|1260|叱|shitsu, shichi, ka|shika(ru)|scold, reprove|
|1261|櫛|shitsu|kushi, kushikezu(ru)|comb|
|1262|渥|aku|atsu(i), uruo(u)|kindness, moisten|
|1263|挨|ai|hira(ku)|approach, draw near, push open|
|1264|憧|shou, tou, dou|akoga(reru)|yearn after, long for, aspire to, admire, adore|
|1265|濡|ju, nyu|nure(ru), uruo(i)|get wet, damp, make love|
|1266|槍|sou, shou|yari|spear, lance, javelin|
|1267|宵|shou|yoi|wee hours, evening, early night|
|1268|襄|jou, shou|hara(u)|rise, raise|
|1269|妄|mou, bou|mida(rini)|delusion, unnecessarily, without authority, reckless|
|1270|惇|shun, jun, ton|atsu(i)|sincere, kind, considerate|
|1271|蛋|tan||barbarian, egg|
|1272|脩|shuu|osa(meru), naga(i), hojishi|dried meat|
|1273|笘|sen, chou||whip, cane, wooden writing slate|
|1274|宍|niku, jiku|shishi|muscles, meat|
|1275|甫|ho, fu|haji(mete)|for the first time, not until|
|1276|酌|shaku|ku(mu)|bar-tending, serving sake, the host, draw (water), ladle, scoop, pump|
|1277|蚕|san, ten|kaiko, ko|silkworm|
|1278|壕|kou, gou|hori|trench, dugout, air raid shelter|
|1279|嬉|ki|ure(shii), tano(shimu)|glad, pleased, rejoice|
|1280|囃|satsu, sou|haya(su), hayashi|play (music), accompany, beat time, banter, jeer, applaud|
|1281|蒼|sou|ao(i)|blue, pale|
|1282|餌|ji, ni|e, eba, esa, mochi|food, bait, prey, tempting profit|
|1283|簗|ryou|yana|weir, fish trap, (kokuji)|
|1284|峙|ji|sobada(tsu)|tower, soar|
|1285|粥|iku, shuku, juku|kayu, kai, hisa(gu)|rice gruel|
|1286|舘|kan|yakata, tate|mansion, large building, palace|
|1287|銕|tetsu|kurogane|iron, strong, solid, firm|
|1288|鄒|suu, shu, shuu||place name|
|1289|蜷|ken|nina|an edible river snail|
|1290|暉|ki|kaga(yaku)|shine, light|
|1291|捧|hou|sasa(geru)|lift up, give, offer, consecrate, sacrifice, dedicate|
|1292|頒|han|wa(katsu), wa(keru)|distribute, disseminate, partition, understand|
|1293|只|shi|tada|only, free, in addition|
|1294|肢|shi||limb, arms & legs|
|1295|箏|sou, shou|koto|a koto|
|1296|檀|dan, tan|mayumi|cedar, sandalwood, spindle tree|
|1297|鵠|koku, kou|kugui, mato|swan|
|1298|凱|gai, kai|kachidoki, yawaragu|victory song|
|1299|彗|sui, e, kei, sei|houki|comet|
|1300|謄|tou||mimeograph, copy|
|1301|諌|kan|isa(me)|admonish, dissuade|
|1302|樫||kashi|evergreen oak, (kokuji)|
|1303|噂|son|uwasa|rumor, gossip, hearsay|
|1304|脊|seki|se, sei|stature, height, spine|
|1305|牝|hin|mesu, me-, men|female|
|1306|梓|shi|azusa|catalpa tree, woodblock printing|
|1307|洛|raku||Kyoto, the capital|
|1308|醍|dai, tai, tei||whey, good Buddhist teaching|
|1309|砦|sai|toride|fort, stronghold, entrenchments|
|1310|丑|chuu|ushi|sign of the ox or cow, 1-3AM, second sign of Chinese zodiac|
|1311|笏|kotsu|shaku|mace, baton, scepter|
|1312|蕨|ketsu|warabi|bracken, fernbrake|
|1313|噺||hanashi|talk, (kokuji)|
|1314|抒|jo, sho|ku(mu), no(beru)|tell, 10**24|
|1315|嗣|shi||heir, succeed|
|1316|隈|wai, e|kuma, sumi|corner, nook, recess|
|1317|叶|kyou|kana(eru), kana(u)|grant, answer|
|1318|凄|sei, sai|samu(i), sugo(i), susa(majii)|uncanny, weird, threatening, horrible|
|1319|汐|seki|shio, ushio, sei|eventide, tide, salt water, opportunity|
|1320|絢|ken||brilliant fabric design|
|1321|叩|kou|tata(ku), hata(ku), sugi|strike, beat, kow tow, hit, thrash, criticize|
|1322|嫉|shitsu|sone(mu), neta(mu), niku(mu)|jealous, envy|
|1323|朔|saku|tsuitachi|conjunction (astronomy), first day of month, north|
|1324|蔡|sai||type of tortoise used for divination|
|1325|膝|shitsu|hiza|knee, lap|
|1326|鍾|shou, shu|atsu(meru), sakazuki, kane|spindle, gather, collect|
|1327|仇|kyuu, gu|ada, ata, kataki, tsureai|foe, enemy, revenge, grudge, feud|
|1328|伽|ka, ga, kya, gya|togi|nursing, attending, entertainer|
|1329|夷|i|ebisu, emishi, koro(su), tai(rageru)|barbarian, savage, Ainu|
|1330|恣|shi|hoshiimama|selfish, arbitrary|
|1331|瞑|mei, ben, myou, min, men|mei(suru), tsubu(ru), tsumu(ru), kura(i)|sleep, dark, close eyes|
|1332|畝|bou, ho, mo, mu|se, une|furrow, thirty tsubo, ridge, rib|
|1333|抄|shou||extract, selection, summary, copy, spread thin|
|1334|杭|kou|kui|stake, post, picket|
|1335|寓|guu, gu, dou|guu(suru), kakotsu(keru), yo(ru), karizumai|temporary abode, imply, suggest|
|1336|麺|men, ben|mugiko|noodles, wheat flour|
|1337|戴|tai|itada(ku)|be crowned with, live under (a ruler), receive|
|1338|爽|sou|aki(raka), sawa(yaka), tagau|refreshing, bracing, resonant, sweet, clear|
|1339|裾|kyo, ko|suso|cuff, hem, foot of mountain|
|1340|黎|rei, ri|kuro(i)|dark, black, many|
|1341|惰|da||lazy, laziness|
|1342|坐|za, sa|suwa(ru), owasu, sozoroni, mashimasu|sit|
|1343|鍼|shin|hari, sa(su)|needle|
